State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI
Alabama,2013,12.065634967741934,23.141935483870967,21.387096774193548,0.01209883870967742,0.02038709677419355,18.903225806451612,0.7503113064516129,3.609677419354839,6.580645161290323,0.21100688709677418,0.4403225806451613,4.129032258064516
Alabama,2014,9.411745809286899,23.21542288557214,21.495854063018243,0.024660149253731344,0.03886898839137645,36.98341625207297,1.186517129353234,4.746932006633499,7.956953642384106,0.20592147014925374,0.3895605306799337,3.711442786069652
Alabama,2015,9.078580206666667,21.698999999999998,20.026666666666667,0.023999966666666664,0.03862666666666666,37.343333333333334,1.00942902,4.2435,6.95,0.22102668,0.4195666666666667,3.933333333333333
Alaska,2014,11.658509608938548,22.701675977653633,21.16759776536313,0.010306575418994414,0.016385474860335196,15.206703910614525,5.951531268156424,9.356703910614524,14.0,0.4554438687150838,0.7159217877094972,6.983240223463687
Alaska,2015,11.11658859936407,20.10508744038156,18.634340222575517,0.014217632750397455,0.020669316375198726,19.15898251192369,6.1590109713831485,9.831637519872814,14.764705882352942,0.4052212464228935,0.6557869634340223,6.26984126984127
Arizona,2011,16.61533600673023,33.695905776780705,31.61301177790241,0.02681297588334268,0.04404262478968032,38.68536174985979,0.7759248839035333,1.7771733034212,2.4501679731243002,0.34342516993830624,0.6598485698261357,6.223219293325855
Arizona,2012,17.831803367357786,36.47910685805422,34.27432216905901,0.026512629984051038,0.0451786283891547,40.37267410951622,0.9130017448165869,1.78471557682084,2.391812865497076,0.3425981073896864,0.6772381711855396,6.42720510095643
Arizona,2013,15.47952766700611,32.079633401222,30.119144602851325,0.027972658859470468,0.04545824847250509,43.91140529531568,0.7163671771894093,1.6244908350305498,2.174134419551935,0.32089221232179227,0.6158197556008147,5.763747454175153
Arizona,2014,16.112343223624432,33.30580514891469,31.296819787985864,0.026559032306915697,0.04478849066128218,44.74457344775366,0.9237102094901565,1.7853104492680463,2.36226034308779,0.40526794321049975,0.7264757698132257,7.071680969207471
Arizona,2015,12.704995142294436,27.963663220088623,26.220580994583948,0.02814385081240768,0.044836041358936485,44.89807976366322,0.584848466272772,1.2749384539635649,1.637124569177745,0.3556449295913343,0.62505317577548,6.0
Arkansas,2011,9.982133810958905,22.78739726027397,21.115068493150684,0.02746128219178082,0.04041369863013698,35.701369863013696,1.3655325356164383,2.326301369863014,2.9863013698630136,0.4471267246575343,0.585663698630137,6.178082191780822
Arkansas,2012,10.568827552289815,25.638755980861244,23.766233766233768,0.027883923444976075,0.04099931647300068,36.48462064251538,1.304615005468216,2.2147641831852356,2.784688995215311,0.4673621572112099,0.6052064251537936,6.459644322845417
Arkansas,2013,9.791679257534247,23.782739726027398,22.013698630136986,0.02557740821917808,0.03744931506849315,35.676712328767124,1.2992415363013698,2.0455479452054797,2.4315068493150687,0.3844125212328767,0.5063280821917808,5.428767123287671
Arkansas,2014,8.862050756164383,21.683013698630138,20.041095890410958,0.023851506849315068,0.03544931506849315,33.37260273972603,1.1416358157534248,1.9814383561643836,2.326027397260274,0.3469920643835616,0.45052945205479455,4.778082191780822
